txn_id,date,type,ticker,shares,price_per_share,gross_value,commission,net_value,cash_before,cash_after,holdings_value,total_value,notes
TXN-0001,2026-03-11,DEPOSIT,,,,1000.00,0.00,1000.00,0.00,1000.00,0.00,1000.00,Initial deposit — account opened
TXN-0002,2026-03-11,BUY,TXN,1.208033,198.67,240.0,5.07,245.07,1000.0,754.93,240.0,994.93,Score=79.7 signal=STRONG BUY  ▲▲
TXN-0003,2026-03-11,BUY,USB,4.59506,52.23,240.0,5.07,245.07,754.93,509.86,480.0,989.86,Score=79.7 signal=STRONG BUY  ▲▲
TXN-0004,2026-03-11,BUY,PNC,1.167088,205.64,240.0,5.07,245.07,509.86,264.79,720.0,984.79,Score=78.8 signal=STRONG BUY  ▲▲
TXN-0005,2026-03-11,BUY,ITW,0.612518,271.52,166.31,5.0332,171.34,264.79,93.45,886.31,979.76,Score=77.6 signal=STRONG BUY  ▲▲
TXN-0006,2026-03-11,SELL,ITW,0.612515,271.52,166.31,5.0332,161.28,93.45,254.73,720.0,974.73,Sold 0.6125 of 1.2250 shares
TXN-0007,2026-03-11,SELL,TXN,1.208033,198.67,240.0,5.07,234.93,254.73,489.66,480.0,969.66,Sold 1.2080 of 2.4161 shares
TXN-0008,2026-03-11,BUY,MU,0.907593,418.69,380.0,5.14,385.14,489.66,104.52,860.0,964.52,Score=80.0 signal=STRONG BUY  ▲▲
TXN-0009,2026-03-12,SELL,MU,0.907586,405.35,367.89,5.1339,362.76,104.52,467.28,473.11,940.39,Sold 0.9076 of 1.8152 shares
TXN-0010,2026-03-12,BUY,AFL,2.280398,109.63,250.0,5.075,255.07,467.28,212.21,723.11,935.32,Score=74.2 signal=BUY         ▲
TXN-0011,2026-03-12,BUY,HLT,0.562237,294.26,165.44,5.0327,170.48,212.21,41.73,888.55,930.28,Score=73.8 signal=BUY         ▲
TXN-0012,2026-03-13,SELL,AFL,2.280379,108.71,247.9,5.074,242.83,41.73,284.56,633.01,917.57,Sold 2.2804 of 4.5608 shares
TXN-0013,2026-03-13,BUY,MNST,3.095338,77.11,238.68,5.0693,243.75,284.56,40.81,871.69,912.5,Score=73.5 signal=BUY         ▲
